"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"71","Heterodontiformes","Heterodontidae","Heterodontus","francisci","Heterodontus francisci","Tiburón cornudo","PBC","","x","","NO","","","","","","x","","NINGUNO","","","","3.2","0.00389","3.12",NA,NA,3.2
"72","Heterodontiformes","Heterodontidae","Heterodontus","francisci","Heterodontus francisci","Tiburón cornudo","PBC","","x","","NO","","","","","","x","","NINGUNO","","","","3.2","0.00389","3.12",NA,NA,3.2
"73","Perciformes","Pomacentridae","Hypsypops","rubicundus","Hypsypops rubicundus","Garibaldi","PBC","","","x","NO","","","","","x","","","NINGUNO","","","","3.2","0.02089","3",NA,NA,NA
"74","Perciformes","Serranidae","Mycteroperca","xenarcha","Mycteroperca xenarcha","Garropa jaspeada","PBC","x","x","","NO","","","","","x","","","NINGUNO","","","","4.5","ND","ND",0.01838,3,NA
"75","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Ophiodon elongatus","Molva","PBC","","x","","NO","","","","","","","x","Rocotes (Especies asociadas)","","","","4.3","ND","ND",0.0133,3,NA
"76","Perciformes","Labridae","Oxyjulis","californica","Oxyjulis californica","Señorita","PBC","","","","NO","","","","","x","","","NINGUNO","","","","3.1","0.00447","3.14",NA,NA,NA
"77","Perciformes","Serranidae","Paralabrax","clathratus","Paralabrax clathratus","Cabrilla sargacera","PBC","","x","","NO","","","","","x","","","NINGUNO","","","","3.9","0.00794","3.04",0.00273,3.27,3.93
"78","Perciformes","Serranidae","Paralabrax","nebulifer","Paralabrax nebulifer","Verdillo","PBC","","x","","NO","","","","","x","","","Rocotes (Especies asociadas)","","","","3.5","ND","ND",0.01988,3,NA
"79","Perciformes","Embiotocidae","Rhacochilus","vacca","Rhacochilus vacca","Mojarra muellera ","PBC","","x","","NO","","","","","x","","","NINGUNO","","","","3.4","0.0195","3.02",NA,NA,NA
"80","Rajiformes","Rhinobatidae","Rhinobatos","productus","Rhinobatos productus","Guitarra viola","PBC","","x","","NO","","","","x","","","","Peces marinos de escama: Golfo de México y Caribe (Especies asociadas)","","","","3.6","ND","ND",0.00396,3,3.59
